entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,<3,all,1257,1732,0.148,5.5,0.879,ATR,0.38
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,<3,bull,805,1109,0.127,4.0,0.881,ATR,0.32
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,<3,bear,452,623,0.186,3.7,0.876,ATR,0.5
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,3-5,all,819,1128,0.217,7.6,0.902,ATR,0.81
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,3-5,bull,405,558,0.083,1.8,0.864,ATR,0.3
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,3-5,bear,414,570,0.349,10.6,0.94,ATR,1.32
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,5-8,all,245,338,0.071,1.1,0.808,ATR,0.38
STRUCTURE,scalp +0.5/−3 10b,holdout,all,all,all,1430,5307,0.098,4.0,0.838,ATR,0.45
STRUCTURE,scalp +0.5/−3 10b,holdout,all,all,bull,1265,4695,0.06,2.2,0.823,ATR,0.32
STRUCTURE,scalp +0.5/−3 10b,holdout,all,all,bear,165,612,0.385,10.8,0.958,ATR,1.5
STRUCTURE,scalp +0.5/−3 10b,holdout,all,<3,all,540,2004,0.095,2.3,0.848,ATR,0.21
STRUCTURE,scalp +0.5/−3 10b,holdout,all,<3,bull,498,1848,0.067,1.5,0.837,ATR,0.15
STRUCTURE,scalp +0.5/−3 10b,holdout,all,3-5,all,528,1960,0.09,2.2,0.831,ATR,0.37
STRUCTURE,scalp +0.5/−3 10b,holdout,all,3-5,bull,442,1640,0.025,0.5,0.805,ATR,0.13
STRUCTURE,scalp +0.5/−3 10b,holdout,all,5-8,all,264,980,0.084,1.6,0.822,ATR,0.44
STRUCTURE,scalp +0.5/−3 10b,holdout,all,5-8,bull,239,887,0.068,1.2,0.812,ATR,0.35
STRUCTURE,scalp +0.5/−3 10b,holdout,500M-2B,all,all,194,720,0.086,1.3,0.84,ATR,0.52
STRUCTURE,scalp +0.5/−3 10b,holdout,500M-2B,all,bull,172,638,0.048,0.6,0.826,ATR,0.43
STRUCTURE,scalp +0.5/−3 10b,holdout,2B-5B,all,all,424,1574,0.05,1.1,0.804,ATR,0.31
STRUCTURE,scalp +0.5/−3 10b,holdout,2B-5B,all,bull,368,1366,0.001,0.0,0.78,ATR,0.12
STRUCTURE,scalp +0.5/−3 10b,holdout,2B-5B,3-5,all,174,646,0.092,1.4,0.81,ATR,0.44
STRUCTURE,scalp +0.5/−3 10b,holdout,>5B,all,all,808,2999,0.124,3.9,0.855,ATR,0.48
STRUCTURE,scalp +0.5/−3 10b,holdout,>5B,all,bull,721,2676,0.091,2.6,0.843,ATR,0.36
STRUCTURE,scalp +0.5/−3 10b,holdout,>5B,<3,all,392,1455,0.116,2.5,0.86,ATR,0.25
STRUCTURE,scalp +0.5/−3 10b,holdout,>5B,<3,bull,367,1362,0.096,1.9,0.853,ATR,0.2
STRUCTURE,scalp +0.5/−3 10b,holdout,>5B,3-5,all,287,1065,0.115,2.1,0.847,ATR,0.44
STRUCTURE,scalp +0.5/−3 10b,holdout,>5B,3-5,bull,240,891,0.05,0.8,0.825,ATR,0.2
STRUCTURE,close 10 bars,in-sample,all,all,all,4074,5613,1.039,6.2,0.622,%,1.04
STRUCTURE,close 10 bars,in-sample,all,all,bull,2310,3183,0.902,5.0,0.635,%,0.9
STRUCTURE,close 10 bars,in-sample,all,all,bear,1764,2430,1.219,4.0,0.605,%,1.22
STRUCTURE,close 10 bars,in-sample,all,<3,all,1717,2366,1.291,9.1,0.621,%,1.29
STRUCTURE,close 10 bars,in-sample,all,<3,bull,1060,1460,1.106,7.1,0.653,%,1.11
STRUCTURE,close 10 bars,in-sample,all,<3,bear,657,905,1.589,5.9,0.569,%,1.59
STRUCTURE,close 10 bars,in-sample,all,3-5,all,1504,2072,2.296,8.9,0.667,%,2.3
STRUCTURE,close 10 bars,in-sample,all,3-5,bull,816,1124,1.71,5.7,0.654,%,1.71
STRUCTURE,close 10 bars,in-sample,all,3-5,bear,688,948,2.991,6.8,0.682,%,2.99
STRUCTURE,close 10 bars,in-sample,all,5-8,all,572,788,-0.634,-1.1,0.558,%,-0.63
STRUCTURE,close 10 bars,in-sample,all,5-8,bull,300,413,0.576,0.9,0.587,%,0.58
STRUCTURE,close 10 bars,in-sample,all,5-8,bear,272,375,-1.969,-1.9,0.526,%,-1.97
STRUCTURE,close 10 bars,in-sample,500M-2B,all,all,481,663,-0.537,-0.9,0.559,%,-0.54
STRUCTURE,close 10 bars,in-sample,500M-2B,all,bull,272,375,0.391,0.6,0.592,%,0.39
STRUCTURE,close 10 bars,in-sample,500M-2B,all,bear,209,288,-1.745,-1.7,0.517,%,-1.74
STRUCTURE,close 10 bars,in-sample,500M-2B,3-5,all,196,270,1.328,2.0,0.638,%,1.33
STRUCTURE,close 10 bars,in-sample,2B-5B,all,all,1153,1589,0.617,1.8,0.585,%,0.62
STRUCTURE,close 10 bars,in-sample,2B-5B,all,bull,667,919,0.563,1.4,0.598,%,0.56
STRUCTURE,close 10 bars,in-sample,2B-5B,all,bear,486,670,0.69,1.2,0.566,%,0.69
STRUCTURE,close 10 bars,in-sample,2B-5B,<3,all,334,460,0.428,1.2,0.545,%,0.43
STRUCTURE,close 10 bars,in-sample,2B-5B,<3,bull,197,271,0.702,1.7,0.599,%,0.7
STRUCTURE,close 10 bars,in-sample,2B-5B,3-5,all,488,672,1.949,4.1,0.635,%,1.95
STRUCTURE,close 10 bars,in-sample,2B-5B,3-5,bull,290,400,1.15,2.1,0.61,%,1.15
STRUCTURE,close 10 bars,in-sample,2B-5B,3-5,bear,198,273,3.119,3.7,0.672,%,3.12
STRUCTURE,close 10 bars,in-sample,2B-5B,5-8,all,223,307,-0.421,-0.5,0.552,%,-0.42
STRUCTURE,close 10 bars,in-sample,>5B,all,all,2432,3351,1.556,7.8,0.653,%,1.56
STRUCTURE,close 10 bars,in-sample,>5B,all,bull,1370,1888,1.178,6.1,0.663,%,1.18
STRUCTURE,close 10 bars,in-sample,>5B,all,bear,1062,1463,2.042,5.3,0.64,%,2.04
STRUCTURE,close 10 bars,in-sample,>5B,<3,all,1257,1732,1.625,10.1,0.652,%,1.63
STRUCTURE,close 10 bars,in-sample,>5B,<3,bull,805,1109,1.278,7.6,0.675,%,1.28
STRUCTURE,close 10 bars,in-sample,>5B,<3,bear,452,623,2.243,6.8,0.613,%,2.24
STRUCTURE,close 10 bars,in-sample,>5B,3-5,all,819,1128,2.741,8.0,0.694,%,2.74
STRUCTURE,close 10 bars,in-sample,>5B,3-5,bull,405,558,2.221,5.7,0.684,%,2.22
STRUCTURE,close 10 bars,in-sample,>5B,3-5,bear,414,570,3.249,5.8,0.703,%,3.25
STRUCTURE,close 10 bars,in-sample,>5B,5-8,all,245,338,-0.526,-0.6,0.58,%,-0.53
STRUCTURE,close 10 bars,holdout,all,all,all,1430,5307,1.229,4.8,0.617,%,1.23
STRUCTURE,close 10 bars,holdout,all,all,bull,1265,4695,1.127,4.0,0.593,%,1.13
STRUCTURE,close 10 bars,holdout,all,all,bear,165,612,2.011,4.1,0.8,%,2.01
STRUCTURE,close 10 bars,holdout,all,<3,all,540,2004,1.358,6.0,0.609,%,1.36
STRUCTURE,close 10 bars,holdout,all,<3,bull,498,1848,1.326,5.4,0.596,%,1.33
